Ordem,idaluno,IdPeriodo,SiglaPeriodo,IdUnidade,NomePeriodo,DataInicial,DataFinal,DiasLetivos,SemanasLetivas,IdProximoPeriodo,AnoConclusao,StAtivo,ES_IdSerieRelacionada,StPermiteAlterarNotaHistorico,StInternetExibeBoletim,CoeficienteHoraAula,StDisponivelSolicitacaoDesconto,StDisponivelRMOnLine,StDisponivelInscrTurma
1,101,7,2024,1,Ano letivo 2024               ,2024-01-01 00:00:00,2024-12-31 00:00:00,0,0,0,2024,True,0,True,True,1,False,False,False
1,1012,7,2024,1,Ano letivo 2024               ,2024-01-01 00:00:00,2024-12-31 00:00:00,0,0,0,2024,True,0,True,True,1,False,False,False
1,1013,7,2024,1,Ano letivo 2024               ,2024-01-01 00:00:00,2024-12-31 00:00:00,0,0,0,2024,True,0,True,True,1,False,False,False
1,1019,6,2023,1,Ano letivo 2023               ,2023-01-01 00:00:00,2023-12-31 00:00:00,0,0,0,2023,True,0,True,True,1,False,False,False
1,1034,5,2022,1,Ano letivo 2022               ,2022-01-01 00:00:00,2022-12-31 00:00:00,0,0,6,2022,True,0,True,True,1,False,False,False
1,104,7,2024,1,Ano letivo 2024               ,2024-01-01 00:00:00,2024-12-31 00:00:00,0,0,0,2024,True,0,True,True,1,False,False,False
1,1153,7,2024,1,Ano letivo 2024               ,2024-01-01 00:00:00,2024-12-31 00:00:00,0,0,0,2024,True,0,True,True,1,False,False,False
1,1154,7,2024,1,Ano letivo 2024               ,2024-01-01 00:00:00,2024-12-31 00:00:00,0,0,0,2024,True,0,True,True,1,False,False,False
1,1155,5,2022,1,Ano letivo 2022               ,2022-01-01 00:00:00,2022-12-31 00:00:00,0,0,6,2022,True,0,True,True,1,False,False,False
1,1156,7,2024,1,Ano letivo 2024               ,2024-01-01 00:00:00,2024-12-31 00:00:00,0,0,0,2024,True,0,True,True,1,False,False,False
1,1162,5,2022,1,Ano letivo 2022               ,2022-01-01 00:00:00,2022-12-31 00:00:00,0,0,6,2022,True,0,True,True,1,False,False,False
1,1165,6,2023,1,Ano letivo 2023               ,2023-01-01 00:00:00,2023-12-31 00:00:00,0,0,0,2023,True,0,True,True,1,False,False,False
1,1209,6,2023,1,Ano letivo 2023               ,2023-01-01 00:00:00,2023-12-31 00:00:00,0,0,0,2023,True,0,True,True,1,False,False,False
1,1214,7,2024,1,Ano letivo 2024               ,2024-01-01 00:00:00,2024-12-31 00:00:00,0,0,0,2024,True,0,True,True,1,False,False,False
1,1215,7,2024,1,Ano letivo 2024               ,2024-01-01 00:00:00,2024-12-31 00:00:00,0,0,0,2024,True,0,True,True,1,False,False,False
1,1216,6,2023,1,Ano letivo 2023               ,2023-01-01 00:00:00,2023-12-31 00:00:00,0,0,0,2023,True,0,True,True,1,False,False,False
1,1217,7,2024,1,Ano letivo 2024               ,2024-01-01 00:00:00,2024-12-31 00:00:00,0,0,0,2024,True,0,True,True,1,False,False,False
1,1260,5,2022,1,Ano letivo 2022               ,2022-01-01 00:00:00,2022-12-31 00:00:00,0,0,6,2022,True,0,True,True,1,False,False,False
1,1268,7,2024,1,Ano letivo 2024               ,2024-01-01 00:00:00,2024-12-31 00:00:00,0,0,0,2024,True,0,True,True,1,False,False,False
1,1274,5,2022,1,Ano letivo 2022               ,2022-01-01 00:00:00,2022-12-31 00:00:00,0,0,6,2022,True,0,True,True,1,False,False,False
1,1276,6,2023,1,Ano letivo 2023               ,2023-01-01 00:00:00,2023-12-31 00:00:00,0,0,0,2023,True,0,True,True,1,False,False,False
1,1280,5,2022,1,Ano letivo 2022               ,2022-01-01 00:00:00,2022-12-31 00:00:00,0,0,6,2022,True,0,True,True,1,False,False,False
1,1288,7,2024,1,Ano letivo 2024               ,2024-01-01 00:00:00,2024-12-31 00:00:00,0,0,0,2024,True,0,True,True,1,False,False,False
1,1319,6,2023,1,Ano letivo 2023               ,2023-01-01 00:00:00,2023-12-31 00:00:00,0,0,0,2023,True,0,True,True,1,False,False,False
1,1320,6,2023,1,Ano letivo 2023               ,2023-01-01 00:00:00,2023-12-31 00:00:00,0,0,0,2023,True,0,True,True,1,False,False,False
1,1326,7,2024,1,Ano letivo 2024               ,2024-01-01 00:00:00,2024-12-31 00:00:00,0,0,0,2024,True,0,True,True,1,False,False,False
1,1328,6,2023,1,Ano letivo 2023               ,2023-01-01 00:00:00,2023-12-31 00:00:00,0,0,0,2023,True,0,True,True,1,False,False,False
1,1334,7,2024,1,Ano letivo 2024               ,2024-01-01 00:00:00,2024-12-31 00:00:00,0,0,0,2024,True,0,True,True,1,False,False,False
1,1337,6,2023,1,Ano letivo 2023               ,2023-01-01 00:00:00,2023-12-31 00:00:00,0,0,0,2023,True,0,True,True,1,False,False,False
1,1338,7,2024,1,Ano letivo 2024               ,2024-01-01 00:00:00,2024-12-31 00:00:00,0,0,0,2024,True,0,True,True,1,False,False,False
1,1342,7,2024,1,Ano letivo 2024               ,2024-01-01 00:00:00,2024-12-31 00:00:00,0,0,0,2024,True,0,True,True,1,False,False,False
1,1343,7,2024,1,Ano letivo 2024               ,2024-01-01 00:00:00,2024-12-31 00:00:00,0,0,0,2024,True,0,True,True,1,False,False,False
1,135,4,2021,1,Ano letivo 2021               ,2021-01-01 00:00:00,2021-12-31 00:00:00,0,0,5,2021,True,0,True,True,1,False,False,False
1,1350,6,2023,1,Ano letivo 2023               ,2023-01-01 00:00:00,2023-12-31 00:00:00,0,0,0,2023,True,0,True,True,1,False,False,False
